,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,,,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt Neilson,Green Greenlee,Green Domb,Domb Rizzo,Greenlee Neilson,Neilson Rizzo,Domb Gym,Wyatt Greenlee,Greenlee Gym,Wyatt Cohen,Green Rizzo,Steinke Rizzo,Steinke Goode,Domb Steinke,Green Wyatt,Cohen Gym,Reynolds-Brown Neilson,Cohen Thomas,Wyatt Rizzo,Domb Neilson,Wyatt Gym,Domb Wyatt,Gym Thomas,Reynolds-Brown Steinke,Wyatt Steinke,Green Gym,Steinke Gym,Ayers Gym,Domb Reynolds-Brown,Green Aument-Loughrey,Reynolds-Brown Cohen,Gym Neilson,Green Neilson,Neilson Goode,Domb Aument Loughrey,Steinke Neilson,Green Ayers,Aument-Loughrey Gym,Green Goode,Steinke Cohen,Reynolds-Brown Goode,Cohen Neilson,Rizzo Goode,Gym Goode,Thomas Goode,Greenlee Rizzo,Domb Greenlee,Ayers Reynolds-Brown,Reynolds-Brown Gym,Ayers Aument-Loughrey,Reynolds-Brown Thomas,Wyatt Reynolds-Brown,Green Cohen,Aument-Loughrey Greenlee,Cohen Cain,Gym Rizzo,Ayers Wyatt,Alexander Cain,Ayers Domb,Reynolds-Brown Rizzo,Cain Aument-Loughrey,Reynolds-Brown Greenlee,Greenlee Goode,Cain Reynolds-Brown,Ayers Cain,Ayers Steinke,Green Thomas,Aument-Loughrey Rizzo,Cohen Goode,Green Cain,Cohen Rizzo,Domb Cohen,Neilson Thomas,Domb Thomas,Wyatt Thomas,Cain Gym,Cain Rizzo,Ayers Cohen,Alexander Thomas,Rizzo Thomas,Ayers Alexander,Cohen Greenlee,Steinke Greenlee,Cain Thomas,Alexander Rizzo,Reynolds-Brown Aument-Loughrey,Cain Goode,Aument-Loughrey Neilson,Alexander Gym,Steinke Aument-Loughrey,Cain Steinke,Alexander Wyatt,Aument-Loughrey Thomas,Greenlee Thomas,Ayers Thomas,Alexander Neilson,Alexander Cohen,Ayers Neilson,Aument-Loughrey Cohen,Domb Cain,Wyatt Goode,Cain Greenlee,Wyatt Cain,Alexander Goode,Alexander Reynolds-Brown,Ayers Goode,Reynolds-Brown Green,Gym Write-in,Ayers Greenlee,Cain Cohen,Alexander Steinke,Wyatt Aument-Loughrey,Cain Neilson,Rizzo Write-in,Alexander Greenlee,Alexander Aument-Loughrey,Thomas/Write In,Green Reynolds-Brown,Green Alexander,Green Steinke,Ayers Rizzo,Alexander Domb,Domb Goode,Steinke Thomas,Aument-Loughrey Goode,Alexander Write-In
1 - 1,28,28,16,27,9,43,,4,4,5,4,2,1,5,,,1,1,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,1,
1 - 2,28,32,11,27,24,54,3,3,6,6,8,,1,,,1,1,,1,1,,1,,,,,2,,1,1,,1,,,,,,1,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
1 - 3,36,43,28,46,20,60,1,4,20,6,2,1,3,1,1,,1,,,,1,2,,2,,,,13,,1,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
1 - 4,47,24,22,23,12,50,2,4,3,2,6,3,,,,,1,,,1,2,,,,,,1,3,,2,,,,,,,,,3,1,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
1 - 5,17,18,6,26,4,24,1,2,3,2,3,3,1,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
1 - 6,26,20,11,13,2,21,1,,3,4,2,3,2,2,,1,,,1,,,1,,,,,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
1 - 7,16,27,8,6,4,13,14,,1,1,1,5,2,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,
1 - 8,22,12,18,10,6,22,1,1,1,3,2,,2,1,,,,1,,,,,,1,,,,2,1,,,,,1,,,1,4,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,
