,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
1 - 1,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1 - 2,0,1,1,0,2,6,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
1 - 3,2,2,1,1,1,5,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
1 - 4,2,5,2,3,1,7,2,1,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
1 - 5,0,1,1,1,1,6,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1 - 6,1,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 7,,4,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1 - 8,1,2,,1,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1 - 9,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
1 - 10,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 11,3,1,3,3,,8,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,
1- 12,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 13,1,1,,3,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 14,,3,,3,0,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 15,,1,1,4,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1 - 16,,1,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
1 - 17,1,1,1,4,2,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
1 - 18,1,2,2,5,,4,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
1 - 19,2,2,2,1,,3,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
1 - 20,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 21,,2,2,2,,7,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1,1,5,8,2,2,5,1,3,,,,,1,,1,1,,,1,,1,,,,,,,,1,2,,,,1,,,
2-2,,1,,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2-3,,3,3,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,
2-4,1,3,0,4,1,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2-5,1,1,1,2,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2-6,1,3,2,,,3,3,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
2-7,,1,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-8,,2,2,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,
2-9,,2,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
