Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
1,1,0101,1-1,Tie: Gym/Reynolds Brown,5,Greenlee & Rizzo,5,28,28,16,27,9,43,,4,4,5,4,2,1,5,,,1,1,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,
1,2,0102,1-2,Domb,8,Tie: Domb & Rizzo/Cohen & Gym,2,28,32,11,27,24,54,3,3,6,6,8,,1,,,1,1,,1,1,,1,,,,,2,,1,1,,1,,,,,,1,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0103,1-3,Gym,6,Wyatt & Gym,4,36,43,28,46,20,60,1,4,20,6,2,1,3,1,1,,1,,,,1,2,,2,,,,13,,1,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,0104,1-4,Domb,6,Tie: Greenlee & Neilson/Cohen & Gym/Domb & Neilson,3,47,24,22,23,12,50,2,4,3,2,6,3,,,,,1,,,1,2,,,,,,1,3,,2,,,,,,,,,3,1,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,0105,1-5,Tie: Wyatt/Domb/Green,3,Domb & Wyatt,3,17,18,6,26,4,24,1,2,3,2,3,3,1,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,0106,1-6,Gym,4,Greenlee & Neilson,5,26,20,11,13,2,21,1,,3,4,2,3,2,2,,1,,,1,,,1,,,,,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,0107,1-7,Green,5,Tie: Neilson & Rizzo/Steinke & Gym/Green & Reynolds-Brown/Green & Alexander,2,16,27,8,6,4,13,14,,1,1,1,5,2,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
1,8,0108,1-8,Gym,3,Green & Wyatt,4,22,12,18,10,6,22,1,1,1,3,2,,2,1,,,,1,,,,,,1,,,,2,1,,,,,1,,,1,4,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,9,0109,1-9,Domb,9,Tie: Greenlee & Neilson/Domb & Steinke/Wyatt & Gym,2,26,38,13,31,13,50,1,4,14,4,9,,,1,,1,,,,,3,1,,,,1,,2,,,,1,,,,,2,,,,,,,2,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,0110,1-10,Domb,7,Tie: Greenlee & Neilson/Cohen & Gym/Green & Gym,3,11,39,23,25,14,40,1,3,5,16,7,2,,,,,1,,,,1,3,,2,,,2,3,,2,,,,,,,,,3,,1,,,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
