Ward,Ward Display,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
1,01,Neilson,169,Greenlee & Neilson,45,670,778,356,468,273,980,169,79,123,121,98,50,25,12,4,8,13,7,14,16,13,26,0,12,1,4,19,45,22,14,1,6,1,1,1,0,7,7,22,2,1,6,19,22,15,4,5,9,5,13,3,3,1,3,5,2,1,2,2,4,1,2,3,2,1,3,3,0,4,2,2,2,2,3,2,2,3,1,2,2,1,2,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,0,1
2,02,Gym,248,Steinke & Gym,54,685,910,489,494,448,1884,19,62,65,248,141,86,73,33,27,11,24,18,29,16,9,48,1,7,1,3,20,5,5,38,1,12,0,0,7,1,23,6,43,0,1,5,2,14,18,6,5,12,7,54,1,7,0,1,1,0,1,1,4,11,2,3,5,4,1,4,5,9,4,5,3,14,0,3,1,1,1,0,14,1,1,2,5,0,2,1,1,1,1,5,7,2,1,1,4,0,4,3,1,2,1,1,3,8,2,1,1,1,1,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,1,4,1,0
3,03,Green,339,Reynolds-Brown & Goode,37,1003,1112,307,339,363,1158,6,5,29,25,90,339,3,161,81,2,10,113,68,7,21,151,1,0,0,11,2,2,1,2,0,3,0,2,0,1,2,5,1,1,1,0,0,0,4,0,6,0,2,0,4,10,0,0,0,1,1,0,0,29,0,8,0,37,0,1,4,16,0,2,3,2,0,19,3,0,0,0,0,1,0,2,3,0,4,4,0,2,0,2,0,1,0,0,0,2,4,0,0,0,0,3,2,3,0,0,0,0,0,0,0,2,0,0,5,0,0,2,1,1,0,2,2,1,0,1,3,1,7,0,0,2,0,0,0,1,0,0,0,1,16,28,1,0,1,10,0,0,0
4,04,Green,298,Green & Ayers,33,914,1069,308,341,255,1358,4,5,28,33,121,298,17,134,76,4,16,127,61,12,15,118,0,0,3,8,1,0,0,4,0,0,0,2,0,0,1,5,2,2,1,0,1,0,8,3,9,0,1,6,0,14,1,4,0,0,2,0,0,33,0,7,2,31,0,3,1,16,0,0,0,5,0,13,3,2,0,0,0,0,2,1,2,0,4,2,0,1,0,6,0,0,2,0,4,0,4,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,1,0,0,3,1,4,4,0,0,0,2,1,0,0,0,0,0,0,13,28,2,1,3,7,1,0,0
5,05,Domb,200,Steinke & Gym,63,489,745,476,536,570,2515,3,24,26,150,200,60,106,21,13,1,43,10,21,15,9,43,0,2,1,7,13,1,0,44,0,9,1,4,4,1,62,2,51,0,1,1,0,4,13,4,7,9,4,63,2,4,1,9,2,0,0,2,5,8,0,2,19,4,0,2,5,2,0,2,0,5,0,1,2,4,0,0,4,0,0,4,3,0,3,2,0,3,1,3,0,3,0,2,14,0,3,1,2,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,2,1,3,3,7,0,0
6,06,Green,194,Reynolds-Brown & Goode,22,669,609,172,192,115,681,3,5,13,31,63,194,4,72,41,4,9,39,45,6,11,69,0,0,1,0,1,0,0,4,1,3,0,2,0,2,0,1,4,1,0,0,1,0,1,0,5,1,0,1,0,5,0,1,1,0,0,0,0,14,1,3,0,22,0,2,0,4,0,1,0,2,0,4,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,5,0,0,0,0,0,1,12,3,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,12,1,1,0,2,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,12,3,1,2,0,0,1,0
7,07,Green,93,Green & Alexander,13,1054,385,107,118,81,276,70,25,5,25,32,93,11,9,7,1,10,34,8,9,6,40,0,0,4,2,1,0,7,3,0,2,0,0,1,0,3,2,1,1,0,0,0,0,4,1,5,2,0,4,1,0,1,0,0,2,2,0,0,11,0,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,3,1,0,0,0
8,08,Domb,363,Domb & Steinke,105,481,904,688,663,640,2641,4,10,13,169,363,53,120,27,13,3,41,11,12,27,11,27,0,0,1,11,18,1,1,50,1,49,2,1,2,2,105,2,58,1,0,1,0,3,20,3,10,10,7,88,1,21,0,3,1,0,0,1,1,7,1,3,22,4,2,2,4,1,1,16,0,10,3,5,1,1,1,1,2,2,0,5,1,0,5,1,1,2,0,2,2,1,0,3,42,0,4,2,0,1,2,0,2,0,5,5,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,0,11,3,2,0
9,09,Gym,157,Cohen & Gym,122,263,540,461,412,421,2041,4,34,12,157,60,70,43,25,15,1,21,6,39,29,5,19,0,1,8,7,17,0,0,13,2,24,2,1,1,1,16,1,122,1,0,4,0,10,3,7,3,2,17,21,2,7,0,1,0,0,0,1,0,1,0,2,6,4,0,2,11,3,8,17,1,5,0,2,0,3,0,0,6,1,0,1,0,0,5,1,2,1,1,19,0,2,2,2,6,1,9,1,2,1,1,1,2,0,2,3,1,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,1,0,3,1,0
10,10,Green,458,Green & Thomas,91,1000,1434,537,433,555,2203,12,5,35,38,109,458,6,126,62,4,18,45,366,17,20,113,0,0,15,24,1,1,2,3,0,1,0,1,0,0,1,7,1,4,4,2,0,0,9,11,6,0,7,0,1,16,0,3,0,5,1,1,0,38,0,11,0,20,0,1,2,35,0,0,5,8,0,33,3,1,0,0,1,1,1,4,2,0,7,2,2,2,0,91,0,1,3,1,5,5,16,6,0,0,2,3,3,4,0,0,2,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,3,0,0,5,1,4,3,0,0,0,1,0,0,0,0,0,0,0,37,17,3,0,2,4,0,0,0
