Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
1,1,0101,1-1,Oh,1,Williams & Tracy,1,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,2,0102,1-2,Wolfe,1,Tinney & Taubenberger,1,,1,1,,2,6,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
1,3,0103,1-3,Tie: Tracy/Taubenberger,1,Tracy & O'Brien,1,2,2,1,1,1,5,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,4,0104,1-4,Oh,2,Tie: Oh & Tracy/Williams & Tracy,1,2,5,2,3,1,7,2,1,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
1,5,0105,1-5,Tracy,1,Tracy & O'Brien,1,,1,1,1,1,6,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,6,0106,1-6,Oh,1,,0,1,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,0107,1-7,Oh,3,,0,,4,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,8,0108,1-8,Tie: Oh/Williams,1,,0,1,2,,1,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,9,0109,1-9,,0,Tinney & Taubenberger,2,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
1,10,0110,1-10,,0,,0,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,0111,1-11,Oh,1,Tie: Oh & Tracy/Tracy & Tinney/Tracy & O'Brien,1,3,1,3,3,,8,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,
1,12,0112,1-12,Oh,1,,0,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,0113,1-13,Oh,1,,0,1,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,0114,1-14,Tie: Oh/Tracy/Tinney,1,,0,,3,,3,,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,0115,1-15,Oh,1,Oh & Tracy,1,,1,1,4,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,16,0116,1-16,Oh,1,Tie: Oh & Tracy/O'Brien & Wolfe,1,,1,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
1,17,0117,1-17,Wolfe,1,Oh & O'Brien,1,1,1,1,4,2,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
1,18,0118,1-18,Tie: Oh/Tracy,1,Tie: Tracy & Tinney/Tracy & Wolfe,1,1,2,2,5,,4,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
1,19,0119,1-19,Tie: O'Brien/Tracy,1,Tie: Oh & O'Brien/Oh & Williams,1,2,2,2,1,,3,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
1,20,0120,1-20,Tracy,1,,0,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,0121,1-21,Tie: Oh/Tracy,1,Tie: Oh & Taubenberger/O'Brien & Taubenberger,1,,2,2,2,,7,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
2,1,0201,2-1,O'Brien,3,Tinney & O'Brien,2,1,5,8,2,2,5,1,3,,,,,1,,1,1,,,1,,1,,,,,,,,1,2,,,,1,,,
2,2,0202,2-2,Wolfe,1,,0,,1,,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0203,2-3,Tie: Oh/Tracy/Wolfe,1,Tie: Tracy & Taubenberger/Tinney & Taubenberger/Tinney & Wolfe,1,,3,3,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,
2,4,0204,2-4,Oh,2,,0,1,3,,4,1,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,5,0205,2-5,Oh,1,Williams & Tracy,1,1,1,1,2,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2,6,0206,2-6,Oh,3,Tie: Williams & Tinney/Tinney & O'Brien,1,1,3,2,,,3,3,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
2,7,0207,2-7,O'Brien,1,,0,,1,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,0208,2-8,Tie: Wolfe/Williams,1,Tie: Oh & Tinney/Oh & Taubenberger,1,,2,2,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,
2,9,0209,2-9,Tie: Oh/Tracy,1,Oh & Tracy,1,,2,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2,10,0210,2-10,Tracy,1,,0,,1,,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,0211,2-11,Tie: Oh/Wolfe,2,Tie: Oh & O'Brien/Taubenberger & Wolfe,1,3,5,2,3,,5,2,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,
2,12,0212,2-12,Tinney,1,Oh & Wolfe,1,,1,1,4,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2,13,0213,2-13,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,0214,2-14,Williams,1,Tinney & O'Brien,2,1,1,2,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,
2,15,0215,2-15,Tie: Oh/Tinney/Wolfe,1,Oh & Taubenberger,1,1,3,1,3,3,7,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
2,16,0216,2-16,Oh,3,Tracy & Wolfe,1,1,3,1,1,,6,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2,17,0217,2-17,Oh,1,Tie: Oh & O'Brien/Taubenberger & Wolfe,1,1,1,2,3,1,5,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
2,18,0218,2-18,Oh,4,,0,4,6,,,,1,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,0219,2-19,,0,,0,2,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,0220,2-20,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,0221,2-21,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,0222,2-22,Oh,1,,0,,1,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,0223,2-23,Tinney,1,Tie: Oh & Taubenberger/Taubenberger & Wolfe,1,2,1,2,5,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
2,24,0224,2-24,Oh,5,Tie: Oh & O'Brien/Oh & Tinney/Williams & Tracy,1,2,8,3,7,2,4,5,1,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,
2,25,0225,2-25,Tie: Tracy/Tinney,1,,0,,2,,3,2,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,0226,2-26,Oh,2,Tie: Williams & Wolfe/Tracy & Wolfe,1,4,3,2,3,2,3,2,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
2,27,0227,2-27,Tie: Oh/Wolfe,1,,0,1,2,,5,1,7,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0301,3-1,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,0302,3-2,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0303,3-3,Oh,1,,0,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0304,3-4,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,0305,3-5,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,0306,3-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,0307,3-7,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
