Ward,Ward Display,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
1,01,Oh,16,Oh & Tracy,5,15,37,29,40,9,70,16,5,8,2,1,2,3,0,3,5,0,1,1,1,2,0,0,0,0,2,3,0,2,2,3,1,1,2,0,0,0
2,02,Oh,29,Oh & O'Brien,3,26,55,25,58,21,69,29,3,7,4,1,8,3,0,3,1,2,3,1,0,2,1,0,0,1,0,0,1,2,3,1,1,0,0,3,0,0
3,03,Oh,14,Oh & Williams,2,0,19,3,4,0,5,14,0,1,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,04,Oh,6,Oh & Tracy,2,4,11,9,10,1,21,6,0,1,1,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0
5,05,Oh,55,Tracy & Wolfe,10,35,103,44,86,19,135,55,2,19,3,5,15,4,0,5,2,4,0,8,2,0,0,1,0,0,3,3,2,10,1,0,0,0,2,0,0,1
6,06,Oh,17,Oh & Tracy,1,3,20,2,3,1,4,17,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,07,Tracy,7,Oh & Tracy,3,5,15,9,15,1,13,3,1,7,1,0,0,3,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
8,08,Tracy,22,Tracy & Wolfe,25,30,66,76,91,18,160,20,5,22,2,9,4,2,2,8,4,2,4,6,4,3,0,0,2,2,2,0,2,25,4,1,1,1,1,3,1,0
9,09,Oh,25,Tracy & Wolfe,9,11,44,40,48,24,72,25,5,1,1,3,7,2,0,4,6,1,5,0,1,0,0,0,0,3,3,0,0,9,2,0,0,1,3,2,0,0
10,10,Oh,3,Oh & Wolfe,1,8,5,1,9,1,7,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Oh,2,Williams & Tracy,4,7,6,6,7,1,3,2,0,1,0,0,1,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,Oh,7,Oh & Tracy,1,5,13,2,5,1,11,7,0,2,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,Tracy,4,Oh & O'Brien,1,5,9,4,8,4,14,2,0,4,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,14,Oh,4,Tracy & Wolfe,3,3,7,8,3,2,6,4,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
15,15,Oh,23,Oh & Tracy,5,17,40,25,24,14,78,23,2,4,2,3,2,4,0,2,5,0,2,2,2,2,0,1,0,0,0,0,1,3,2,0,1,1,0,1,0,0
16,16,Tracy,1,Tinney & Taubenberger,1,4,2,1,7,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,17,Oh,25,Oh & O'Brien,2,6,26,5,15,5,7,25,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,18,Oh,16,Tinney & O'Brien,4,16,40,23,23,10,45,16,6,5,10,2,0,1,0,3,2,1,1,1,0,1,0,1,0,0,0,3,1,2,4,1,0,0,1,1,0,0
19,19,Williams,4,Oh & Williams,2,11,8,6,8,1,1,1,0,1,0,1,1,4,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,20,Oh,1,Williams & Wolfe,1,3,2,1,6,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,21,Oh,72,Oh & Tracy,11,64,165,108,188,106,351,72,16,25,16,8,14,14,0,10,11,9,9,5,3,7,1,0,1,1,7,7,1,0,10,4,7,5,2,7,1,0
22,22,Tracy,10,Oh & Tracy,2,3,26,6,13,3,28,7,0,10,1,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
23,23,Oh,11,Oh & Tracy,5,15,33,23,44,14,62,11,2,4,1,2,4,9,0,1,5,2,1,0,1,3,1,0,0,0,1,1,0,4,0,0,0,2,1,0,0,0
24,24,Oh,8,Williams & Wolfe,2,0,16,5,11,3,20,8,0,1,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
25,25,Oh,27,Tinney & O'Brien,6,34,65,41,122,16,73,27,6,18,5,2,1,6,0,1,5,3,2,3,3,2,0,0,0,0,5,1,0,0,6,3,3,3,1,0,0,0
26,26,Oh,35,Oh & Tracy,10,78,85,58,93,52,107,35,9,13,10,0,13,5,0,4,10,4,2,4,3,5,1,0,0,0,2,7,1,3,2,1,1,4,1,3,0,0
27,27,Wolfe,16,Oh & Wolfe,4,2,21,8,8,11,24,0,3,2,0,0,16,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
28,28,O'Brien,1,Oh & Tracy,1,4,2,2,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,Tracy,4,Williams & Wolfe,2,7,9,5,5,3,11,3,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
30,30,Oh,7,Tracy & Wolfe,11,11,17,22,24,3,42,7,1,5,0,0,2,2,0,0,4,0,2,0,1,2,0,0,0,0,0,0,0,11,0,0,1,0,0,1,0,0
31,31,Tinney,31,Oh & Tracy,7,38,83,39,52,12,71,19,14,5,31,1,5,8,0,4,7,5,3,0,0,3,1,1,0,0,3,0,1,0,5,1,2,0,1,2,0,0
32,32,Williams,5,Williams & Wolfe,1,11,10,2,10,1,11,2,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
33,33,Oh,12,Tinney & O'Brien,3,11,29,9,17,6,17,12,4,4,2,2,1,4,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
34,34,Oh,7,Oh & Tracy,4,11,25,17,23,8,46,7,1,3,6,3,2,3,0,0,4,1,3,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
35,35,Oh,19,O'Brien & Taubenberger,5,31,67,39,77,24,110,19,10,2,6,17,7,6,0,3,3,3,0,1,1,2,1,0,2,0,0,3,0,1,1,2,3,5,3,5,0,0
36,36,Oh,13,O'Brien & Wolfe,2,24,27,10,14,4,22,13,1,5,1,0,4,3,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0
37,37,Oh,1,Oh & Taubenberger,1,7,4,2,5,0,4,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,38,Oh,9,Tracy & Wolfe,3,11,23,14,22,5,31,9,1,2,3,1,6,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,3,1,0,1,1,0,2,0,0
39,39,Oh,48,Oh & O'Brien,7,64,103,41,94,21,100,48,7,17,10,4,12,5,0,7,2,2,4,1,1,1,1,1,0,0,4,2,2,2,4,1,2,2,1,1,0,0
40,40,Oh,10,Oh & Wolfe,2,20,37,9,38,14,39,10,6,6,6,1,3,5,0,1,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,41,Oh,20,Oh & Tracy,4,22,66,37,65,23,100,20,10,9,10,6,3,7,1,3,4,3,3,0,2,2,0,0,0,0,3,1,0,0,4,2,3,4,1,2,0,0
42,42,Oh,7,Tinney & Wolfe,2,17,13,9,17,7,29,7,1,2,1,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0
43,43,Oh,4,Oh & Tracy,1,6,10,2,6,1,11,4,0,1,0,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,Oh,3,Oh & Tracy,3,6,9,14,19,6,21,3,1,2,1,0,2,0,0,1,3,1,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1
45,45,Oh,44,Oh & Tracy,15,62,117,86,176,26,152,44,10,21,14,6,13,9,0,9,15,12,2,6,3,2,1,0,2,1,8,4,1,2,5,2,3,4,1,3,0,0
46,46,Wolfe,11,Oh & Wolfe,3,1,16,9,14,4,23,2,0,0,0,0,11,3,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0
